Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code,ReasonCode,ReasonDescription
2026-02-04 11:06:36,294,1,0,1,1,0,0,0,0,5740,0,0,0,1,1,,,FAIL,JC,0,INVALID UID
2026-02-04 11:07:08,294,1,0,1,2,0,0,0,0,5745,0,0,0,2,1,,,FAIL,JC,0,INVALID UID
2026-02-04 11:07:41,294,1,0,1,3,0,0,0,0,5715,0,0,0,3,1,,,FAIL,JC,0,INVALID UID
2026-02-04 11:08:10,294,1,0,1,4,0,0,0,0,5720,0,0,0,4,1,,,FAIL,JC,0,INVALID UID
2026-02-04 11:08:32,294,1,0,1,5,1,5500,500,500,5740,2,0,0,4,1,0101003K12U3ZS,"{""IRS_ID"": 138, ""IRS_ProductID"": 44, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 71, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101003K12U3ZS"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-03T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",PASS,JC,1,VALID UID
