IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
123,30,5.5,500,500,1,58,3,1,0101022V1XZJCW,,2026-06-02T13:00:00.000Z,,0
122,30,5.5,500,500,1,58,3,1,01010223PZ92K1,,2026-06-02T13:00:00.000Z,,0
125,31,5.5,500,500,1,59,3,1,0101023AYJFTLY,,2026-06-02T13:00:00.000Z,,0
124,31,5.5,500,500,1,59,3,1,0101023E6HX1SS,,2026-06-02T13:00:00.000Z,,0
131,34,5.5,500,500,1,63,3,1,0101026QRESSOG,,2026-06-02T13:00:00.000Z,,0
130,34,5.5,500,500,1,62,3,1,0101026I2B3VII,,2026-06-02T13:00:00.000Z,,0
127,32,5.5,500,500,1,60,3,1,01010247SBVISZ,,2026-06-02T13:00:00.000Z,,0
126,32,5.5,500,500,1,60,3,1,010102474BH88N,,2026-06-02T13:00:00.000Z,,0
129,33,5.5,500,500,1,61,3,1,0101025M999PGI,,2026-06-02T13:00:00.000Z,,0
128,33,5.5,500,500,1,61,3,1,0101025NQMV18J,,2026-06-02T13:00:00.000Z,,0
