IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
14,6,5.5,500,500,1,294,3,1,0101006ELXAIX6,,2026-02-15T13:00:00.000Z,,0
13,6,5.5,500,500,1,294,3,1,0101006MRH18SQ,,2026-02-15T13:00:00.000Z,,0
16,7,5.5,500,500,1,295,3,1,0101007B2YRFAS,,2026-03-01T13:00:00.000Z,,0
15,7,5.5,500,500,1,295,3,1,0101007GIW0TLE,,2026-03-01T13:00:00.000Z,,0
18,8,5.5,500,500,1,296,3,1,0101008ZKZCBYV,,2026-02-22T13:00:00.000Z,,0
17,8,5.5,500,500,1,296,3,1,0101008IXAIGKX,,2026-02-22T13:00:00.000Z,,0
20,9,5.5,500,500,1,297,3,1,0101009NQ2DCEE,,2026-02-15T13:00:00.000Z,,0
19,9,5.5,500,500,1,297,3,1,0101009PLIHQXK,,2026-02-15T13:00:00.000Z,,0
24,10,5.5,500,500,1,299,3,1,0101010N4KVJ1M,,2026-02-15T13:00:00.000Z,,0
23,10,5.5,500,500,1,299,3,1,0101010GIP6EQZ,,2026-02-15T13:00:00.000Z,,0
22,10,5.5,500,500,1,298,3,1,0101010ZVB1QZT,,2026-02-22T13:00:00.000Z,,0
21,10,5.5,500,500,1,298,3,1,0101010ZYOFBFD,,2026-02-22T13:00:00.000Z,,0
