IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired,_batch_index,Timestamp,Status,SHPD_ShipmentMID,SHPH_ShipmentCode,PL_ProductId,SHPD_ProductName,SCPM_Code,MachinePass,CameraPass,TotalPassCount,CurrentWeight,ProductDynamicWeight
16,7,5.5,500,500,1,295,3,1,0101007B2YRFAS,,2026-03-01T13:00:00.000Z,,0,0,2026-02-04 15:45:10,PASS,8,WH_2,7,G,JC,YES,YES,1,5805,5500
24,10,5.5,500,500,1,299,3,1,0101010N4KVJ1M,,2026-02-15T13:00:00.000Z,,0,0,2026-02-04 15:45:43,PASS,9,WH_2,10,J,JC,YES,YES,2,5800,5500
22,10,5.5,500,500,1,298,3,1,0101010ZVB1QZT,,2026-02-22T13:00:00.000Z,,0,,2026-02-04 15:46:16,PASS,9,WH_2,10,J,JC,YES,YES,3,5775,5500
13,6,5.5,500,500,1,294,3,1,0101006MRH18SQ,,2026-02-15T13:00:00.000Z,,0,0,2026-02-04 15:46:53,PASS,7,WH_2,6,F,JC,YES,YES,4,5785,5500
14,6,5.5,500,500,1,294,3,1,0101006ELXAIX6,,2026-02-15T13:00:00.000Z,,0,0,2026-02-04 15:47:17,PASS,7,WH_2,6,F,JC,YES,YES,5,5810,5500
15,7,5.5,500,500,1,295,3,1,0101007GIW0TLE,,2026-03-01T13:00:00.000Z,,0,0,2026-02-04 15:47:48,PASS,8,WH_2,7,G,JC,YES,YES,6,5785,5500
