SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentType,SHPH_Status,SHPH_ShipmentCode,ORDM_OrderNumber,SCPM_ID,SCPM_Code,SCPM_Name,LGCM_Name,LGCVM_VehicleNumber,SHPD_ProductName,SHPD_ProductCode,PL_ProductId,PM_PackSize,PM_GrossWeight,PM_MinOffset,PM_MaxOffset,SHPD_ShipQty,BatchId,Count,Address,userId,userName,total,pass,fail,remaining,status,BypassMode,count_pass_correct,count_fail_weight,count_fail_no_read,count_fail_unknown_rsn,count_fail_missed_scan,count_pass_bypass_accepted,count_fail_bypass_rejected,count_fail_bypass_timeout,count_fail_duplicate_rsn,_batch_ids,_batch_limits,_batch_used,UsedCount
7,2,New Order,2,WH_2,ORD_SO_SB_3,2,JC,Jalaram Corporation,SpeedExpress,GJ11PO2541,F,F,6,,,,,2,294,2,"Nr.Chamak Chuna's Factory, National H.No.8, Thakkarbapanagar, Ahmedabad, Gujarat, India, 382350",2,WH,2,2,3,0,COMPLETED,False,2,3,0,0,0,0,0,0,0,['294'],[2],[2],2
8,2,New Order,2,WH_2,ORD_SO_SB_3,2,JC,Jalaram Corporation,SpeedExpress,GJ11PO2541,G,G,7,,,,,2,295,2,"Nr.Chamak Chuna's Factory, National H.No.8, Thakkarbapanagar, Ahmedabad, Gujarat, India, 382350",2,WH,2,2,0,0,COMPLETED,False,2,0,0,0,0,0,0,0,0,['295'],[2],[2],2
9,2,New Order,2,WH_2,ORD_SO_SB_3,2,JC,Jalaram Corporation,SpeedExpress,GJ11PO2541,J,J,10,,,,,2,299,2,"Nr.Chamak Chuna's Factory, National H.No.8, Thakkarbapanagar, Ahmedabad, Gujarat, India, 382350",2,WH,2,2,0,0,COMPLETED,False,2,0,0,0,0,0,0,0,0,['299'],[2],[1],1
10,2,New Order,2,WH_2,ORD_SO_SB_4,1,RM,Raghu Marketing,SpeedExpress,GJ11PO2541,H,H,8,,,,,2,296,2,"PHASE-I, MAIN ROAD MAYAPURI, Ahmedabad, Gujarat, India, 110064",2,WH,2,0,0,2,RUNNING,False,0,0,0,0,0,0,0,0,0,['296'],[2],[0],0
11,2,New Order,2,WH_2,ORD_SO_SB_4,1,RM,Raghu Marketing,SpeedExpress,GJ11PO2541,I,I,9,,,,,2,297,2,"PHASE-I, MAIN ROAD MAYAPURI, Ahmedabad, Gujarat, India, 110064",2,WH,2,0,0,2,RUNNING,False,0,0,0,0,0,0,0,0,0,['297'],[2],[0],0
12,2,New Order,2,WH_2,ORD_SO_SB_4,1,RM,Raghu Marketing,SpeedExpress,GJ11PO2541,J,J,10,,,,,2,298,2,"PHASE-I, MAIN ROAD MAYAPURI, Ahmedabad, Gujarat, India, 110064",2,WH,2,0,0,2,RUNNING,False,0,0,0,0,0,0,0,0,0,['298'],[2],[0],0
