Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code,ReasonCode,ReasonDescription
2026-02-06 16:44:38,339,1,0,1,1,0,5500,500,500,18155,3,0,1,0,1,0101019K9OOP67,"{""IRS_ID"": 68, ""IRS_ProductID"": 19, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 29, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101019K9OOP67"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-05T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",FAIL,MM,3,VALID UID WEIGHT FAIL
2026-02-06 17:20:49,340,1,0,1,1,0,5500,500,500,13920,3,0,1,0,1,0101018UKZJJGM,"{""IRS_ID"": 67, ""IRS_ProductID"": 18, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 28, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101018UKZJJGM"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-05T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",FAIL,MM,3,VALID RSN OVER WEIGHT
2026-02-06 17:21:11,340,1,0,1,2,0,5500,500,500,2655,1,1,1,0,1,0101018UKZJJGM,"{""IRS_ID"": 67, ""IRS_ProductID"": 18, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 28, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101018UKZJJGM"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-05T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",FAIL,MM,3,VALID RSN UNDER WEIGHT
2026-02-06 17:21:52,340,1,0,1,3,1,5500,500,500,5770,2,1,1,0,1,0101018UKZJJGM,"{""IRS_ID"": 67, ""IRS_ProductID"": 18, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 28, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101018UKZJJGM"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-05T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",PASS,MM,1,VALID RSN
