Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code,ReasonCode,ReasonDescription
2026-01-30 18:21:48,263,1,0,1,1,0,0,0,0,5790,2,0,0,1,1,,,FAIL,RM,5,NO READ
2026-01-30 18:31:22,266,1,0,1,1,1,5500,600,500,5620,2,0,0,0,1,0101001E9S3AGO,"{""IRS_ID"": 8, ""IRS_ProductID"": 1, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 600, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 4, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101001E9S3AGO"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-04-30T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": 0}",PASS,RM,1,VALID UID
2026-01-30 18:32:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0101001E9S3AGO,,FAIL,,10,DUPLICATE UID
2026-01-30 18:32:51,266,1,0,1,3,2,5500,500,500,5795,2,0,0,1,1,010100245A1FID,"{""IRS_ID"": 1, ""IRS_ProductID"": 2, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 1, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""010100245A1FID"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-05-07T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0}",PASS,RM,2,VALID UID BYPASS YES
2026-01-30 18:34:28,268,1,0,1,1,1,5500,500,500,5785,2,0,0,0,1,0101002GMF21S9,"{""IRS_ID"": 4, ""IRS_ProductID"": 2, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 2, ""IRS_PhysicalLocation"": 3, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101002GMF21S9"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-05-08T13:00:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""_batch_index"": -1}",FAIL,RM,3,VALID UID WEIGHT FAIL
