SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentType,SHPH_Status,SHPH_ShipmentCode,ORDM_OrderNumber,SCPM_ID,SCPM_Code,SCPM_Name,LGCM_Name,LGCVM_VehicleNumber,SHPD_ProductName,SHPD_ProductCode,PL_ProductId,PM_PackSize,PM_GrossWeight,PM_MinOffset,PM_MaxOffset,SHPD_ShipQty,BatchId,Count,Address,userId,userName,total,pass,fail,remaining,status,BypassMode,count_pass_correct,count_fail_weight,count_fail_no_read,count_fail_unknown_rsn,count_fail_missed_scan,count_pass_bypass_accepted,count_fail_bypass_rejected,count_fail_bypass_timeout,count_fail_duplicate_rsn
7,2,New Order,10,WH_2,ORD_SO_SB_1,2,JC,Jalaram Corporation,SpeedExpress,GJ11PO2541,DOUBLE MARI PAPAD 400 GM,DMP400,,,,,,1,,,"Nr.Chamak Chuna's Factory, National H.No.8, Thakkarbapanagar, Ahmedabad, Gujarat, India, 382350",2,WH,1,0,0,1,RUNNING,True,0,0,0,0,0,0,0,0,0
8,2,New Order,10,WH_2,ORD_SO_SB_1,2,JC,Jalaram Corporation,SpeedExpress,GJ11PO2541,SINGAL MARI PAPAD 400 GM,SMP400,,,,,,1,,,"Nr.Chamak Chuna's Factory, National H.No.8, Thakkarbapanagar, Ahmedabad, Gujarat, India, 382350",2,WH,1,0,0,1,,True,0,0,0,0,0,0,0,0,0
5,2,New Order,10,WH_2,ORD_SO_SB_2,1,RM,Raghu Marketing,SpeedExpress,GJ11PO2541,DOUBLE MARI PAPAD 400 GM,DMP400,,,,,,1,,,"PHASE-I, MAIN ROAD MAYAPURI, Ahmedabad, Gujarat, India, 110064",2,WH,1,1,2,0,,True,1,1,1,0,0,0,0,0,0
6,2,New Order,10,WH_2,ORD_SO_SB_2,1,RM,Raghu Marketing,SpeedExpress,GJ11PO2541,SINGAL MARI PAPAD 400 GM,SMP400,,,,,,1,,,"PHASE-I, MAIN ROAD MAYAPURI, Ahmedabad, Gujarat, India, 110064",2,WH,1,1,0,0,,True,1,0,0,0,0,0,0,0,1
