IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired,_batch_index,Status,Timestamp,SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentCode,PL_ProductId,SHPD_ProductName,SCPM_Code,SCPM_ID
477,1,2,0.1,0.1,,2,3,1,01010011LYY78Q,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:41,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
689,1,2,0.1,0.1,,2,3,1,01010011Q0DHWB,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:42,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
344,1,2,0.1,0.1,,2,3,1,01010011RC9NGA,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:43,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
405,1,2,0.1,0.1,,2,3,1,01010011WTKYGL,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:43,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
237,1,2,0.1,0.1,,2,3,1,01010011YGW8T4,,2033-07-23T13:00:00.000Z,1,0,1,FAIL,2026-01-24 17:25:44,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
173,1,2,0.1,0.1,,2,3,1,01010011Z5A097,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:44,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
367,1,2,0.1,0.1,,2,3,1,01010011ZQ27HH,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:45,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
215,1,2,0.1,0.1,,2,3,1,0101001211930X,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:45,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
373,1,2,0.1,0.1,,2,3,1,0101001214A9N7,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:46,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
502,1,2,0.1,0.1,,2,3,1,0101001220C3CF,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:47,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
312,1,2,0.1,0.1,,2,3,1,010100123F85N3,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:47,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
249,1,2,0.1,0.1,,2,3,1,0101001281R6P2,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:48,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
643,1,2,0.1,0.1,,2,3,1,010100129NGZC6,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:48,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
303,1,2,0.1,0.1,,2,3,1,010100129RT62K,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:49,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
740,1,2,0.1,0.1,,2,3,1,01010012BXCKNT,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:49,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
491,1,2,0.1,0.1,,2,3,1,01010012BZTH2J,,2033-07-23T13:00:00.000Z,1,0,1,PASS,2026-01-24 17:25:50,2,2,WH_2,1,DOUBLE MARI PAPAD 400 GM,RM01,1
