IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired
673,1,2,0.1,0.1,,2,3,1,0101001A19BHGM,,2033-07-23T13:00:00.000Z,,0
672,1,2,0.1,0.1,,2,3,1,0101001GEN40JQ,,2033-07-23T13:00:00.000Z,,0
670,1,2,0.1,0.1,,2,3,1,0101001YOCF8WC,,2033-07-23T13:00:00.000Z,,0
669,1,2,0.1,0.1,,2,3,1,0101001Q98KBH8,,2033-07-23T13:00:00.000Z,,0
668,1,2,0.1,0.1,,2,3,1,0101001OYFXDQL,,2033-07-23T13:00:00.000Z,,0
667,1,2,0.1,0.1,,2,3,1,0101001GS45DKJ,,2033-07-23T13:00:00.000Z,,0
666,1,2,0.1,0.1,,2,3,1,0101001SYVM0OG,,2033-07-23T13:00:00.000Z,,0
664,1,2,0.1,0.1,,2,3,1,0101001FNCWGSD,,2033-07-23T13:00:00.000Z,,0
663,1,2,0.1,0.1,,2,3,1,0101001CJ45KAX,,2033-07-23T13:00:00.000Z,,0
662,1,2,0.1,0.1,,2,3,1,0101001R9ON1CP,,2033-07-23T13:00:00.000Z,,0
661,1,2,0.1,0.1,,2,3,1,0101001L44WTR3,,2033-07-23T13:00:00.000Z,,0
660,1,2,0.1,0.1,,2,3,1,01010018WXPUAZ,,2033-07-23T13:00:00.000Z,,0
659,1,2,0.1,0.1,,2,3,1,0101001IU9PLFK,,2033-07-23T13:00:00.000Z,,0
658,1,2,0.1,0.1,,2,3,1,0101001XR4JYDI,,2033-07-23T13:00:00.000Z,,0
657,1,2,0.1,0.1,,2,3,1,0101001N91FKXM,,2033-07-23T13:00:00.000Z,,0
656,1,2,0.1,0.1,,2,3,1,0101001BEAG0IZ,,2033-07-23T13:00:00.000Z,,0
654,1,2,0.1,0.1,,2,3,1,0101001HT04OGY,,2033-07-23T13:00:00.000Z,,0
653,1,2,0.1,0.1,,2,3,1,01010017H2OBT1,,2033-07-23T13:00:00.000Z,,0
652,1,2,0.1,0.1,,2,3,1,0101001YR8LOYG,,2033-07-23T13:00:00.000Z,,0
651,1,2,0.1,0.1,,2,3,1,0101001O09ZQ4K,,2033-07-23T13:00:00.000Z,,0
649,1,2,0.1,0.1,,2,3,1,0101001P6SK1X4,,2033-07-23T13:00:00.000Z,,0
646,1,2,0.1,0.1,,2,3,1,0101001V2JSZR3,,2033-07-23T13:00:00.000Z,,0
645,1,2,0.1,0.1,,2,3,1,0101001O9R0KCM,,2033-07-23T13:00:00.000Z,,0
644,1,2,0.1,0.1,,2,3,1,0101001YBZAJVT,,2033-07-23T13:00:00.000Z,,0
642,1,2,0.1,0.1,,2,3,1,0101001IBZR1W7,,2033-07-23T13:00:00.000Z,,0
641,1,2,0.1,0.1,,2,3,1,0101001S4M5Z0D,,2033-07-23T13:00:00.000Z,,0
640,1,2,0.1,0.1,,2,3,1,0101001V5ITKRH,,2033-07-23T13:00:00.000Z,,0
639,1,2,0.1,0.1,,2,3,1,0101001FS0YNAU,,2033-07-23T13:00:00.000Z,,0
638,1,2,0.1,0.1,,2,3,1,0101001HA6PGKO,,2033-07-23T13:00:00.000Z,,0
637,1,2,0.1,0.1,,2,3,1,0101001IUES4TO,,2033-07-23T13:00:00.000Z,,0
636,1,2,0.1,0.1,,2,3,1,0101001KU2N7TT,,2033-07-23T13:00:00.000Z,,0
635,1,2,0.1,0.1,,2,3,1,0101001W6A5ZDT,,2033-07-23T13:00:00.000Z,,0
634,1,2,0.1,0.1,,2,3,1,0101001JAY9BZX,,2033-07-23T13:00:00.000Z,,0
633,1,2,0.1,0.1,,2,3,1,01010019FOQXHV,,2033-07-23T13:00:00.000Z,,0
632,1,2,0.1,0.1,,2,3,1,0101001Z6I53Y4,,2033-07-23T13:00:00.000Z,,0
631,1,2,0.1,0.1,,2,3,1,0101001I0ITCPI,,2033-07-23T13:00:00.000Z,,0
630,1,2,0.1,0.1,,2,3,1,01010018R2DK4K,,2033-07-23T13:00:00.000Z,,0
629,1,2,0.1,0.1,,2,3,1,0101001YNVAHJ6,,2033-07-23T13:00:00.000Z,,0
628,1,2,0.1,0.1,,2,3,1,0101001NS8W4XY,,2033-07-23T13:00:00.000Z,,0
627,1,2,0.1,0.1,,2,3,1,0101001H6YKURB,,2033-07-23T13:00:00.000Z,,0
626,1,2,0.1,0.1,,2,3,1,0101001KYL3TIC,,2033-07-23T13:00:00.000Z,,0
625,1,2,0.1,0.1,,2,3,1,0101001QQPJLA9,,2033-07-23T13:00:00.000Z,,0
624,1,2,0.1,0.1,,2,3,1,0101001MK3M007,,2033-07-23T13:00:00.000Z,,0
623,1,2,0.1,0.1,,2,3,1,0101001TYVUT5M,,2033-07-23T13:00:00.000Z,,0
622,1,2,0.1,0.1,,2,3,1,01010015KG5GUP,,2033-07-23T13:00:00.000Z,,0
621,1,2,0.1,0.1,,2,3,1,0101001M08GZ73,,2033-07-23T13:00:00.000Z,,0
620,1,2,0.1,0.1,,2,3,1,0101001OPCN1M2,,2033-07-23T13:00:00.000Z,,0
619,1,2,0.1,0.1,,2,3,1,01010017S5B29G,,2033-07-23T13:00:00.000Z,,0
618,1,2,0.1,0.1,,2,3,1,0101001RYBRP2U,,2033-07-23T13:00:00.000Z,,0
617,1,2,0.1,0.1,,2,3,1,0101001CYL82JM,,2033-07-23T13:00:00.000Z,,0
616,1,2,0.1,0.1,,2,3,1,0101001BAW7T0L,,2033-07-23T13:00:00.000Z,,0
615,1,2,0.1,0.1,,2,3,1,0101001ENO4LEZ,,2033-07-23T13:00:00.000Z,,0
614,1,2,0.1,0.1,,2,3,1,0101001C3GZ9UF,,2033-07-23T13:00:00.000Z,,0
612,1,2,0.1,0.1,,2,3,1,0101001LKN5VS0,,2033-07-23T13:00:00.000Z,,0
611,1,2,0.1,0.1,,2,3,1,010100163D85O8,,2033-07-23T13:00:00.000Z,,0
609,1,2,0.1,0.1,,2,3,1,0101001XCK7JBU,,2033-07-23T13:00:00.000Z,,0
608,1,2,0.1,0.1,,2,3,1,0101001W3HSCPT,,2033-07-23T13:00:00.000Z,,0
