SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentType,SHPH_Status,SHPH_ShipmentCode,ORDM_OrderNumber,SCPM_ID,SCPM_Code,SCPM_Name,LGCM_Name,LGCVM_VehicleNumber,SHPD_ProductName,SHPD_ProductCode,PL_ProductId,PM_PackSize,PM_GrossWeight,PM_MinOffset,PM_MaxOffset,SHPD_ShipQty,BatchId,Count,Address,userId,userName,pass,fail,total,status,remaining,_batch_ids,_batch_limits,_batch_used,UsedCount
2,2,New Order,10,WH_2,ORD_SO_BG01_4,1,RM01,Raghu Marketing,BlueDart,GJ11LP4578,DOUBLE MARI PAPAD 400 GM,DMP,1,,,,,100,"1,2","16,84","Vatva, GIDC, Ahmedabad, Gujrat, India, 987456",2,WH,104,480,100,COMPLETED,0,"['1', '2']","[16, 84]","[0, 1]","0,1"
3,2,New Order,10,WH_2,ORD_SO_BG01_4,1,RM01,Raghu Marketing,BlueDart,GJ11LP4578,SINGLE MARI PAPAD 400 GM,SMP,2,,,,,100,3,100,"Vatva, GIDC, Ahmedabad, Gujrat, India, 987456",2,WH,0,372,100,RUNNING,100,['3'],[100],[0],
