SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentType,SHPH_Status,SHPH_ShipmentCode,ORDM_OrderNumber,SCPM_ID,SCPM_Code,SCPM_Name,LGCM_Name,LGCVM_VehicleNumber,SHPD_ProductName,SHPD_ProductCode,PL_ProductId,PM_PackSize,PM_GrossWeight,PM_MinOffset,PM_MaxOffset,SHPD_ShipQty,BatchId,Count,Address,userId,userName,total,pass,fail,remaining,status,BypassMode,count_pass_correct,count_fail_weight,count_fail_no_read,count_fail_unknown_rsn,count_fail_missed_scan,count_pass_bypass_accepted,count_fail_bypass_rejected,count_fail_bypass_timeout,count_fail_duplicate_rsn
12,5,New Order,2,WH_5,ORD_SO_SB_8,1,RM,Raghu Marketing,BlueDart,GJ11LP7845,MASALA PAPAD,MP01,11,,,,,1,24,1,"PHASE-I, MAIN ROAD MAYAPURI, Ahmedabad, Gujarat, India, 110064",2,WH,1,0,0,1,RUNNING,False,0,0,0,0,0,0,0,0,0
11,5,New Order,2,WH_5,ORD_SO_SB_7,2,JC,Jalaram Corporation,BlueDart,GJ11LP7845,DOUBLE MASALA PAPAD,DMP01,12,,,,,4,"25,26","3,1","Nr.Chamak Chuna's Factory, National H.No.8, Thakkarbapanagar, Ahmedabad, Gujarat, India, 382350",2,WH,4,0,0,4,,False,0,0,0,0,0,0,0,0,0
