Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code,ReasonCode,ReasonDescription,ProductID
2026-02-09 15:54:36,354,1,0,1,1,0,0,0,0,5800,2,0,0,1,1,,,FAIL,SE,0,UNKNOWN FAILURE,33
2026-02-09 15:55:04,354,1,0,1,2,1,5500,500,500,5800,2,0,0,1,1,0101033M2GXETO,"{""IRS_ID"": 99, ""IRS_ProductID"": 33, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 53, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101033M2GXETO"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101033M2GXETO"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-03-30T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 1}",FAIL,SE,4,VALID RSN WEIGHT FAIL (unknown status),33
2026-02-09 15:55:52,354,1,0,1,3,2,5500,500,500,5800,2,0,0,1,1,0101033M2GXETO,"{""IRS_ID"": 99, ""IRS_ProductID"": 33, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 53, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101033M2GXETO"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101033M2GXETO"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-03-30T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 1}",FAIL,SE,4,VALID RSN WEIGHT FAIL (unknown status),33
