Timestamp,BatchId,UserId,CurrentAlarm,MachineStatus,TotalProductCount,TotalPassCount,ProductDynamicWeight,OffsetPlus,OffsetMinus,CurrentWeight,CurrentWeightStatus,UnderWeightCount,OverWeightCount,DoubleCounts,BatchStatus,RSN,RSN_JSON,Status,SCPM_Code,ReasonCode,ReasonDescription,ProductID
2026-02-09 14:44:02,349,1,0,1,1,0,5500,500,500,11630,3,0,1,0,1,0101028E2FTSUV,"{""IRS_ID"": 83, ""IRS_ProductID"": 28, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 42, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101028E2FTSUV"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101028E2FTSUV"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-08T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 0, ""_batch_index"": 0}",FAIL,MM,3,VALID RSN OVER WEIGHT,28
2026-02-09 14:44:41,349,1,0,1,2,1,5500,500,500,5765,2,0,1,0,1,0101028E2FTSUV,"{""IRS_ID"": 83, ""IRS_ProductID"": 28, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 42, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""0101028E2FTSUV"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/0101028E2FTSUV"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-08T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 0, ""_batch_index"": 0}",PASS,MM,1,VALID RSN,28
2026-02-09 14:45:06,349,1,0,1,3,2,5500,500,500,5735,2,0,1,0,1,01010286MBXQ6R,"{""IRS_ID"": 82, ""IRS_ProductID"": 28, ""PM_GrossWeight"": 5.5, ""PM_MaxOffset"": 500, ""PM_MinOffset"": 500, ""IRS_PackSize"": 1, ""IRS_BatchID"": 42, ""IRS_PhysicalLocation"": 6, ""IRS_CompanyID"": 1, ""IRS_RandomNo"": ""01010286MBXQ6R"", ""IRS_SKU"": ""https://vsecure.techtrio.com/ShreeBhagwati/01010286MBXQ6R"", ""IRS_ParentRandomNo"": """", ""BL_ExpDate"": ""2026-06-08T18:30:00.000Z"", ""IRS_ToSCP"": """", ""isExpired"": 0, ""isNearExpiry"": 0, ""_batch_index"": 0}",PASS,MM,1,VALID RSN,28
